trade_date,close
2017-02-23,5536.0
2017-02-24,5592.0
2017-02-27,5606.0
2017-02-28,5568.0
2017-03-01,5568.0
2017-03-02,5560.0
2017-03-03,5532.0
2017-03-06,5568.0
2017-03-07,5572.0
2017-03-08,5398.0
2017-03-09,5214.0
2017-03-10,5096.0
2017-03-13,5096.0
2017-03-14,5070.0
2017-03-15,5080.0
2017-03-16,5106.0
2017-03-17,5110.0
2017-03-20,5082.0
2017-03-21,5074.0
2017-03-22,5044.0
2017-03-23,5088.0
2017-03-24,5024.0
2017-03-27,4970.0
2017-03-28,4958.0
2017-03-29,5002.0
2017-03-30,4956.0
2017-03-31,4888.0
2017-04-05,4986.0
2017-04-06,5022.0
2017-04-07,5126.0
2017-04-10,5154.0
2017-04-11,5124.0
2017-04-12,5066.0
2017-04-13,5072.0
2017-04-14,5068.0
2017-04-17,5140.0
2017-04-18,5140.0
2017-04-19,5064.0
2017-04-20,5036.0
2017-04-21,5010.0
2017-04-24,4996.0
2017-04-25,4946.0
2017-04-26,4934.0
2017-04-27,4950.0
2017-04-28,4938.0
2017-05-02,4984.0
2017-05-03,4984.0
2017-05-04,4890.0
2017-05-05,4788.0
2017-05-08,4818.0
2017-05-09,4820.0
2017-05-10,4788.0
2017-05-11,4826.0
2017-05-12,4818.0
2017-05-15,4886.0
2017-05-16,4922.0
2017-05-17,4918.0
2017-05-18,4908.0
2017-05-19,4964.0
2017-05-22,5000.0
2017-05-23,4984.0
2017-05-24,4964.0
2017-05-25,4936.0
2017-05-26,4814.0
2017-05-31,4802.0
2017-06-01,4744.0
2017-06-02,4728.0
2017-06-05,4770.0
2017-06-06,4808.0
2017-06-07,4846.0
2017-06-08,4830.0
2017-06-09,4828.0
2017-06-12,4828.0
2017-06-13,4860.0
2017-06-14,4878.0
2017-06-15,4842.0
2017-06-16,4834.0
2017-06-19,4856.0
2017-06-20,4828.0
2017-06-21,4804.0
2017-06-22,4758.0
2017-06-23,4784.0
2017-06-26,4794.0
2017-06-27,4800.0
2017-06-28,4822.0
2017-06-29,4874.0
2017-06-30,4854.0
2017-07-03,4884.0
2017-07-04,4848.0
2017-07-05,4950.0
2017-07-06,4942.0
2017-07-07,4946.0
2017-07-10,4946.0
2017-07-11,5200.0
2017-07-12,5280.0
2017-07-13,5312.0
2017-07-14,5390.0
