code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
160520.SH,2018-07-12,0.911,0.917,0.911,0.916,68.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-13,0.912,0.912,0.912,0.912,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-16,0.918,0.918,0.918,0.918,20.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-17,0.922,0.922,0.922,0.922,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-23,0.923,0.923,0.923,0.923,15.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-24,0.928,0.933,0.928,0.933,56.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-25,0.937,0.937,0.926,0.926,123.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-26,0.929,0.932,0.929,0.931,85.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-27,0.93,0.933,0.929,0.93,504.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-30,0.932,0.938,0.932,0.938,28.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-31,0.933,0.938,0.927,0.927,18.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-02,0.921,0.923,0.921,0.923,26.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-03,0.922,0.927,0.922,0.927,5.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-06,0.926,0.926,0.926,0.926,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-07,0.928,0.929,0.928,0.929,24.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-08,0.92,0.92,0.92,0.92,1.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-09,0.926,0.926,0.922,0.922,5.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-14,0.922,0.932,0.922,0.932,501.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-15,0.928,0.928,0.928,0.928,1.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-17,0.926,0.926,0.926,0.926,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-20,0.924,0.928,0.922,0.928,580.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-21,0.926,0.928,0.926,0.928,224.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-22,0.925,0.925,0.925,0.925,24.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-29,0.921,0.921,0.919,0.919,20.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-08-31,0.922,0.922,0.922,0.922,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-04,0.922,0.922,0.922,0.922,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-05,0.918,0.918,0.918,0.918,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-11,0.918,0.918,0.918,0.918,2.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-09-13,0.916,0.916,0.916,0.916,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
