Trade_Date,Asset_ID,Asset_Name,Price,Holding_Weight_Pct,Daily_Contribution_Pct
2025-09-05,CN_ETF:518880.SH,黄金ETF (518880),7.775,8.1712902494361,0.026324755978112648
2025-09-05,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.5576,44.76584032750596,-0.23222752032675842
2025-09-08,CN_ETF:159981.SZ,能源化工ETF (159981),1.311,8.88638397840562,0.027091666136036315
2025-09-08,CN_ETF:159985.SZ,豆粕ETF (159985),2.005,11.59882419180952,0.06358367332358678
2025-09-08,CN_ETF:510300.SH,沪深300ETF (510300),4.555,13.574472172489541,0.002977747786502689
2025-09-08,CN_ETF:512890.SH,红利低波ETF (512890),1.185,12.5331812226014,0.0
2025-09-08,CN_ETF:518880.SH,黄金ETF (518880),7.847,8.25354553916384,0.07566982610410371
2025-09-08,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),249.1633,44.55227594628754,-0.24911242432335726
2025-09-09,CN_ETF:159981.SZ,能源化工ETF (159981),1.306,8.856592536142252,-0.03389162463159929
2025-09-09,CN_ETF:159985.SZ,豆粕ETF (159985),2.015,11.662072675663621,0.05784949721600913
2025-09-09,CN_ETF:510300.SH,沪深300ETF (510300),4.528,13.50025876053663,-0.08046339158226593
2025-09-09,CN_ETF:512890.SH,红利低波ETF (512890),1.191,12.602474716221689,0.0634591454308935
2025-09-09,CN_ETF:518880.SH,黄金ETF (518880),7.966,8.38259155735045,0.1251652757946335
2025-09-09,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),248.1655,44.39441429467253,-0.1784141602684039
2025-09-10,CN_ETF:159981.SZ,能源化工ETF (159981),1.308,8.90442013631856,0.013562928845546177
2025-09-10,CN_ETF:159985.SZ,豆粕ETF (159985),2.003,11.637402455522789,-0.06945154943323235
2025-09-10,CN_ETF:510300.SH,沪深300ETF (510300),4.538,13.58233936721828,0.029815059100128275
2025-09-10,CN_ETF:512890.SH,红利低波ETF (512890),1.188,12.619290131500499,-0.03174426880660475
2025-09-10,CN_ETF:518880.SH,黄金ETF (518880),7.947,8.3949019483538,-0.019993627867143128
2025-09-10,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.4494,44.25772658854993,-0.30699373753034925
2025-09-11,CN_ETF:159981.SZ,能源化工ETF (159981),1.305,8.8547378518307,-0.020422981964033766
2025-09-11,CN_ETF:159985.SZ,豆粕ETF (159985),2.005,11.610656558984909,0.011619972496775766
2025-09-11,CN_ETF:510300.SH,沪深300ETF (510300),4.66,13.90155237063076,0.36514883270177045
2025-09-11,CN_ETF:512890.SH,红利低波ETF (512890),1.192,12.620077956190901,0.04248919236195575
2025-09-11,CN_ETF:518880.SH,黄金ETF (518880),7.923,8.341984304406019,-0.02535266726569647
2025-09-11,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.2097,44.06906058421403,-0.04304565993374627
